00	VISITANTE	0
0001	MONTADOR II H	724205
0002	AJUDANTE I B	724220
0003	INSPETOR QUALIDADE III A	391205
0004	OPERADOR JATO II B	821435
0005	OPERADOR DE MAQUINA OPERATRIZ II E	721210
0006	MONTADOR II A	724205
0007	AJUDANTE DE ACABAMENTO	724220
0008	ASSISTENTE FATURAMENTO II D	413115
0009	AJUDANTE I E	724220
001	DIRETOR COMERCIAL	12330
0010	MONTADOR VII	724205
0011	OPERADOR DE MAQUINA OPERATRIZ II D	721210
0012	ASSISTENTE DE LOGISTICA II D	342125
0013	AJUDANTE DE JATO I D	724220
0014	OPERADOR DE PONTE ROLANTE II A	782130
0015	MONTADOR II B	724205
0016	CALCULISTA PROJETISTA II	318510
0017	AUXILIAR DE PCP I D	391125
0018	AUXILIAR DE ALMOXARIFE I B	414105
0019	ELETROMECANICO II C	300305
002	DIRETOR TECNICO	12230
0020	ANALISTA FINANCEIRO III H	252545
0021	AJUDANTE I C	724220
0022	PINTOR II C	716610
0023	MONTADOR II G	724205
0024	SOLDADOR MIG VI	724325
0025	AJUDANTE I D	724220
0026	OPERADOR DE MAQUINA OPERATRIZ II F	721210
0027	ANALISTA DE PCP III E	391125
0028	MOTORISTA DE CARRETA II G	782510
0029	MONTADOR II J	724205
003	AJUDANTE GERAL	71702
0030	ANALISTA DE PCP	391125
0031	SOLDADOR MIG II H	724325
0032	ENCARREGADO DE FABRICACAO	141205
0033	PROJETISTA II E	318510
0034	ALMOXARIFE II C	414105
0035	MONTADOR II I	724205
0036	AUXILIAR DE PCP I B	391125
0037	OPERADOR JATO II D	821435
0038	COORDENADOR DE CONTRATOS III J	141305
0039	MONTADOR VI	724205
004	ALMOXARIFE	41410
0040	SOLDADOR MIG II I	724325
0041	AJUDANTE I F	724220
0042	OPERADOR DE MAQUINAS CONVENCIONAIS II D	721215
0043	OPERADOR DE MUNCK II A	782515
0045	AJUDANTE I G	724220
0046	ELETROMECANICO II J	300305
0047	AUXILIAR DE PCM I D	391130
0048	AUXILIAR DE LIMPEZA I B	514320
0049	OPERADOR DE MAQUINA OPERATRIZ II J	721210
005	ANALISTA DE RH	25240
0050	TORNEIRO II I	721215
0051	SOLDADOR MIG II A	724325
0052	TECNICO DE PLANEJAMENTO III F	391125
0053	AUXILIAR DE TORNEIRO I B	721215
0054	PINTOR II B	716610
0055	ENCARREGADO DE FABRICACAO III G	141205
0056	ANALISTA ADMINISTRATIVO III A	351305
0057	SOLDADOR MIG V	724325
0058	OPERADOR JATO II A	821435
0059	SOLDADOR MIG II D	724325
006	AUXILIAR DE ALMOXARIFADO	41410
0060	ENCARREGADO DE PINTURA III B	720135
0061	OPERADOR DE MAQUINA OPERATRIZ II A	721210
0062	PROJETISTA II C	318510
0063	SOLDADOR TIG VI	724315
0064	MONTADOR II E	724205
0065	OPERADOR DE GUINDASTE III H	782115
0066	PINTOR II A	716610
0067	COORDENADOR PRODUCAO V E	141205
0068	OPERADOR DE HYSTER I D	711130
0069	LIDER DE LOGISTICA II B	342125
007	AUXILIAR DE ENGENHARIA III	41100
0070	ENCARREGADO MANUTENCAO	910105
0071	ENCARREGADO DE ACABAMENTO	821405
0072	ANALISTA DE PRODUÇÃO	252705
0073	MONTADOR CALDEIREIRO	724410
0074	ELETRICISTA DE OBRA CIVIL	715615
0075	OPERADOR DE HYSTER I B	782220
0076	AJUDANTE DE LOGÍSTICA	414140
0077	ELETROMECANICO 	300305
0078	SUPERINTENDENTE DE SUPRIMENTOS	123405
0079	COORDENADOR DE QUALIDADE	391205
008	AUXILIAR DE SERVIÇOS GERAIS	51432
009	CONTÍNUO	41220
01	RETIREIRO	623115
010	ELETRICISTA MONTADOR I	71561
011	ELETRICIST II	95110
012	ELETRICISTA III	95110
013	ENCARREGADO DE OBRA CIVIL	71020
014	GERENTE DE OBRAS	14130
015	GERENTE DE OBRAS SENIOR	14130
016	GERENTE DE RH	14220
017	GERENTE DE SUPRIMENTOS	14241
018	SUPERVISOR DE ELETRICISTA	73010
019	TECNICO DE MATERIAIS	39111
020	TECNICO DE MEDIÇÃO	35230
021	TECNICO DE SEGURANCA DO TRABALHO	35160
022	TECNCIO DE SEG.DO TRAB.SR	35160
023	TECNICO EM ADMINISTRAÇÃO	35130
024	TECNICO ORÇAMENTISTA	41101
025	AJUDANTE DE ELETRICA	71561
027	ANALISTA ADMINISTRATIVO	35130
028	APONTADOR	41421
029	AUXILIAR ADMINISTRATIVO	41100
030	ELETRICISTA FORÇA E CONTROLE	71561
031	ELETRICISTA MONTADOR	71561
032	MEIO OFICIAL DE ELETRICA	71561
033	FERRAMENTEIRO	72110
034	ARQUIVISTA	26130
035	TEC.SEG.TRABALHO SENIOR	35160
036	ENCARREGADO II	31341
037	ELETRICISTA MONTADOR I	71561
038	ELETRICISTA MONTADOR II	71561
039	ELETRICISTA MONTADOR III	71561
040	RECEPCIONISTA	42210
041	ASSISTENTE ADMINISTRATIVO	41101
042	ASSISTENTE TECNICO	39121
043	AUXILIAR DE ENGENHARIA I	41100
044	SUPERVISOR H	71020
045	GERENTE ADMINISTRATIVO	14210
046	MESTRE DE ELETRICA	73010
047	ENCARREGADO DE ELETRICA	95010
048	ADVOGADO	24100
049	ASSISTENTE TEC. DE PLANEJAMENT	39112
050	OPERADOR DE CAMINHAO MUNCK	71120
051	ENGENHEIRO JUNIOR	21430
052	ARMADOR III	71531
053	RECEPCIONISTA	42210
054	VIGIA	51742
055	AUXILIAR FINANCEIRO	41100
056	ENGENHEIRO DE PROJETOS TRAINEE	21490
057	TECNICO DE PLANEJAMENTO	31210
058	AUXILIAR DE ALMOXARIFE I	41410
059	ANALISTA DA QUALIDADE	39121
060	ANALISTA FINANCEIRO JUNIOR	41101
061	ANALISTA ADMINISTRATIVO JUNIOR	35130
062	TECNICO DE MATERIAIS PLENO	39111
063	TECNICO ADMINISTRATIVO PLENO	35130
064	TECNICO ADMINISTRATIVO JUNIOR	35130
065	APRENDIZ DE TORNEARIA MECANICA	91130
066	APRENDIZ DE USINAGEM MECANICA	72501
067	ENGENHEIRO ORCAMENTISTA	21420
068	PROGRAMADOR	39112
069	GERENTE DE OBRA PLENO	14130
070	ENGENHEIRO SENIOR	21430
071	ENGENHEIRO PLENO	21420
072	ALMOXARIFE FERRAMENTEIRO	41410
073	ENCARREGADO SENIOR	91010
074	TEC. EM ENFERMAGEM DO TRABALHO	32221
075	ENCARREGADO	91010
076	TEC.SEG. DO TRABALHO JR	35160
077	ELETRICISTA DE MANUTENÇÃO	95110
078	PEDREIRO	71521
079	MECANICO MONTADOR	72420
080	FERRAMENTEIRO	72110
081	SUPERVISOR E	71020
082	ELETRICISTA MONTADOR D	71561
083	TECNICO ADMINISTRATIVO SENIOR	35130
084	TEC EM ENFERMAGEM DO TRABALHO	32221
085	SOLDADOR	72431
086	AUXILIAR DA QUALIDADE	39121
087	ENCARREGADO DE MONTAGEM MECANICA	91010
088	ARMADOR	71531
089	TECNICO DE PLANEJAMENTO	31210
090	CARPINTEIRO	71552
091	SUPERVISOR ADMINISTRATIVO JUNIOR	41010
092	COMPRADOR	35421
093	ASSISTENTE ADMINISTRATIVO JUNIOR	41101
094	ASSISTENTE ADMINISTRATIVO PLENO	41101
095	AUXILIAR DE RECURSOS HUMANOS	41100
096	SUPERVISOR DE PROJETOS SENIOR	14270
097	ASSISTENTE DE COMPRAS MASTER	41101
098	ASSISTENTE ALMOXARIFE	41410
099	GERENTE DE PROJETOS	14260
1	MESTRE DE ANDAIME	71554
10	MONTADOR DE ESTRUTURA METALICA	72420
100	MONTADOR DE ANDAIME	71554
101	ENGENHEIRO DE SEGURANÇA DO TRABALHO	21491
102	AJUDANTE DE MECANICA	72520
103	ENCARREGADO DE MECANICA	91010
104	SINALEIRO DE MUNK	78322
105	ENCARREGADO DE ANDAIME	71554
106	LIDER DE RIGGER	78214
107	RIGGER	78214
108	CALDEIREIRO	72441
109	LIXADOR	72132
11	ENGENHEIRO DE PRODUÇÃO TRAINEE	21490
110	SOLDADOR CHAPARIA	72430
111	LIDER DE SOLDA	72014
112	AUXILIAR ADMINISTRATIVO DE SEGURANCA	41100
113	ENCARREGADO DE SERVIÇOS GERAIS	41010
114	AJUD.SEGURANÇA E MEIO AMBIENTE	31150
115	AUXILIAR DE TOPOGRAFO	31232
116	TECNICO DE SEGURANCA DO TRABALHO PL	35160
117	LIDER DE PINTURA	72013
118	SOLDADOR RX	72431
119	TOPOGRAFO	31232
12	ENCARREGADO DE PINTURA	72013
120	OPERADOR DE ETE	86230
121	SINALEIRO	78214
122	ENCARREGADO DE ELETRICA	95010
123	ANALISTA DE PROJETOS JUNIOR	25272
124	AUXILIAR DE MATERIAIS	41410
125	MEDICO DO TRABALHO	22512
126	ASSISTENTE DE RH PLENO	41101
127	ASSISTENTE FINANCEIRO	41101
128	ASSISTENTE DEPARTAMENTO PESSOAL	41103
129	AUXILIAR DE DOCUMENTACAO DA QUALIDADE	41510
13	GERENTE DE PROJETOS PLENO	14260
130	APONTADOR DE PLANEJAMENTO	41420
131	MOTORISTA DE CAMINHAO MUNCK	78251
132	TECNICO EM MEIO AMBIENTE	31150
133	AUXILIAR DE DEPARTAMENTO FISCAL	41100
134	SINALEIRO DE CHAPARIA	78214
135	TEC SEG DO TRABALHO MASTER	35160
136	ASSISTENTE RH MASTER	41101
137	MOTORISTA	78231
